"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 03:16:07 UTC 2023","Wed Nov 29 03:16:07 UTC 2023","192","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Nov 29 02:27:37 UTC 2023","Wed Nov 29 02:28:03 UTC 2023","26134","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Nov 29 04:14:40 UTC 2023","Wed Nov 29 04:14:44 UTC 2023","3755","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Nov 29 02:49:08 UTC 2023","Wed Nov 29 02:49:23 UTC 2023","15573","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Nov 29 02:53:15 UTC 2023","Wed Nov 29 02:53:15 UTC 2023","356","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Nov 29 04:14:10 UTC 2023","Wed Nov 29 04:14:16 UTC 2023","5256","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Nov 29 02:39:01 UTC 2023","Wed Nov 29 02:39:22 UTC 2023","21079","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Nov 29 03:47:52 UTC 2023","Wed Nov 29 03:48:30 UTC 2023","37823","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Nov 29 04:24:52 UTC 2023","Wed Nov 29 04:25:14 UTC 2023","21856","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Nov 29 03:12:55 UTC 2023","Wed Nov 29 03:13:06 UTC 2023","10859","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed Nov 29 03:42:32 UTC 2023","Wed Nov 29 03:42:48 UTC 2023","15510","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Nov 29 04:13:42 UTC 2023","Wed Nov 29 04:14:07 UTC 2023","25056","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Nov 29 04:24:41 UTC 2023","Wed Nov 29 04:24:44 UTC 2023","2895","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Nov 29 03:23:40 UTC 2023","Wed Nov 29 03:23:42 UTC 2023","2734","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Nov 29 03:13:47 UTC 2023","Wed Nov 29 03:13:48 UTC 2023","778","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Nov 29 03:13:32 UTC 2023","Wed Nov 29 03:13:35 UTC 2023","2284","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Nov 29 02:50:02 UTC 2023","Wed Nov 29 02:50:04 UTC 2023","2140","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Nov 29 02:34:08 UTC 2023","Wed Nov 29 02:34:25 UTC 2023","16829","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Nov 29 02:49:37 UTC 2023","Wed Nov 29 02:49:47 UTC 2023","10067","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Nov 29 03:29:20 UTC 2023","Wed Nov 29 03:29:23 UTC 2023","3028","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
